#Gene_ID	YL.RS.145.1	YL.RS.1488	YL.RS.Si051.12	YL.RS.Si062	YL.RS.Si080	YL.RS.Si214	YL.RS.Si255	YL.RS.Si268	YL.RP.112	YL.RP.1488	YL.RP.342	YL.RP.348	YL.RP.64	YL.RP.977	YL.RP.995	YL.RP.9	YL.RP.Si051	YL.RP.Si062	YL.RP.Si079	YL.RP.Si080	YL.RP.Si081	YL.RP.Si083	YL.RP.Si090	YL.RP.Si214	YL.RP.Si248	YL.RP.Si249	YL.RP.Si268	YL.RS.1489	YL.RS.1606	YL.RS.251	YL.RS.342	YL.RS.348	YL.RS.37	YL.RS.427	YL.RS.53	YL.RS.642	YL.RS.977	YL.RS.995	YL.RS.9	YL.RS.Si079	YL.RS.Si081	YL.RS.Si083	YL.RS.Si090	YL.RS.Si227	YL.RS.Si248	YL.RS.Si249
YLrefSI_8372101	0	0	0	1.81622334256883e-08	2.34680185459581e-08	1.58197419053705e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37832076892734e-08	0	0	0	0	0	0	0	0	1.83934275563033e-08	0	0	0	0	1.9601936554171e-08
YLrefSI_8595961	0	0	1.07997623089612e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75813704682192e-08	0	0	0	0	1.4469395202653e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1.29489729996375e-08	0	0	0	1.27295475174665e-08	0
YLrefSI_8718094	0	0	0	0	1.44418575667434e-08	0	0	2.19271095995091e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2638064684681e-08	2.76557809427009e-08	0	0	2.22544537018646e-08	0
YLrefSI_9204422	0	0	0	0	1.31540486117472e-08	3.54684659279645e-08	0	1.99718259409542e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.30404382207852e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06193837573847e-08	2.51896603490843e-08	0	0	0	0
YLrefSI_9402275	0	0	0	0	1.53355368716162e-08	6.89176875085448e-09	0	7.76132839784605e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13908940770577e-08	0	0	0	0	0	9.93382488111937e-09	0	0	0	0	8.95800946296485e-09	1.60259566827198e-08	0	0	0	7.87719524595701e-09	0
ZJK1168-1_10342705	0	0	0	0	0	0	0	0	9.37153249453914e-09	1.23523266381669e-08	7.42395524632684e-09	0	0	0	0	0	8.9067898830054e-09	1.62866327561125e-08	0	0	0	0	0	9.77229564285135e-09	9.15552940715872e-09	0	0	1.17158618256345e-08	0	0	0	0	0	8.94706648851325e-09	0	2.27811526974175e-08	0	2.97211998926013e-08	0	0	0	0	0	0	8.69504611848807e-09	0
ZJK1168-1_11259994	0	0	0	0	0	0	0	0	3.60292110609383e-08	9.49779737304431e-09	2.28333413458455e-08	7.27419922963159e-09	8.86730805534643e-09	6.89014180425056e-09	6.21791552917934e-08	0	0	6.26145755119452e-09	0	7.34750621304459e-09	1.27624058974157e-08	9.2339130610395e-09	1.28019143171405e-08	7.51399202790671e-09	4.22385348279844e-08	0	1.5198944540602e-08	1.80168295301775e-08	9.667901695654e-09	0	4.16496363832975e-08	8.79379107838684e-09	9.04190160453111e-09	0	8.43122952095006e-09	8.75830030173827e-09	1.3629422736816e-07	1.21881895357894e-07	0	1.52060328699068e-08	1.36018623945773e-08	8.30835435883662e-09	0	2.84604237915114e-08	3.34284336067924e-08	0
ZJK1168-1_12108500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.95527232967571e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZJK1168-1_17637857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.59090818598625e-08	0	0	5.48937217515347e-08	2.64779675726193e-08	0	0	0	1.2302227150885e-07	2.17912578353209e-08	2.58313580010978e-08	0	0	0	0	0	0	0	0	0	0	3.17144230972821e-08	0	0	0	0	0	0	4.15655522112543e-08
ZJK1168-1_1806463	0	0	0	0	0	0	0	0	0	0	0	0	0	2.87693640247655e-08	1.11267962101104e-07	0	2.85954833085962e-08	0	0	0	0	0	0	0	5.8788136193335e-08	0	0	0	0	0	2.89842498807742e-08	0	0	0	0	0	0	3.18068981306785e-08	0	0	0	0	0	2.97086879928934e-08	5.58313487608181e-08	0
ZJK1168-1_19413592	0	0	0	0	0	0	0	0	0	0	9.27360962510454e-09	0	0	0	0	0	1.1125887703686e-08	1.01721972504048e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.10486117744348e-08	1.34975313133319e-08	0	1.15590117105456e-08	0	0
